city,lat,lon,temp,clouds,score
Paris,48.8588897,2.3200410217200766,12.6,74.0,48.8
Marseille,43.2961743,5.3699525,15.1,62.0,58.8
Lyon,45.7578137,4.8320114,12.0,77.0,46.5
Toulouse,43.6044622,1.4442469,12.1,92.0,39.3
Nice,43.7009358,7.2683912,14.3,84.0,46.7
Nantes,47.2186371,-1.5541362,12.0,54.0,58.0
Strasbourg,48.584614,7.7507127,8.7,84.0,38.0
Montpellier,43.6112422,3.8767337,13.9,66.0,54.9
Bordeaux,44.841225,-0.5800364,12.9,70.0,51.4
Lille,50.6365654,3.0635282,12.2,60.0,55.2
Rennes,48.1113387,-1.6800198,11.5,66.0,51.5
Reims,49.2577886,4.031926,12.1,78.0,46.4
Le Havre,49.4938975,0.1079732,13.5,71.0,51.8
Saint-Étienne,45.4401467,4.3873058,9.5,85.0,38.7
Toulon,43.1257311,5.9304919,14.7,78.0,50.0
Grenoble,45.1875602,5.7357819,11.6,93.0,37.8
Dijon,47.3215806,5.0414701,10.0,83.0,40.3
Angers,47.4739884,-0.5515588,12.1,72.0,49.0
Nîmes,43.8374249,4.3600687,12.9,82.0,45.6
Villeurbanne,45.7733573,4.8868454,12.0,77.0,46.4
Le Mans,48.0073849,0.1967849,12.1,76.0,47.2
Aix-en-Provence,43.5298424,5.4474738,13.0,77.0,48.0
Clermont-Ferrand,45.7774551,3.0819427,10.4,95.0,35.3
Brest,48.3905283,-4.4860088,12.6,42.0,65.0
Tours,47.3900474,0.6889268,12.1,76.0,47.4
Amiens,49.8941708,2.2956951,12.2,74.0,48.4
Limoges,45.8354243,1.2644847,10.3,85.0,40.1
Annecy,45.8992348,6.1288847,8.7,70.0,44.9
Boulogne-Billancourt,48.8356649,2.240206,12.4,74.0,48.8
Perpignan,42.6985304,2.8953121,13.6,87.0,43.9
Metz,49.1196964,6.1763552,10.8,67.0,49.5
Besançon,47.2380222,6.0243622,9.7,94.0,34.5
Orléans,47.9027336,1.9086066,11.3,70.0,48.8
Rouen,49.4404591,1.0939658,12.0,73.0,48.4
Mulhouse,47.7467233,7.3389937,8.9,91.0,34.8
